"","revisit_code","num_revisit","decision_time_code","decision_time","other_country","purpose","motivation1","motivation2","motivation3","path_get_inform1","path_get_inform2","path_get_inform3","companion","num_companion_code","num_companion","activity1","activity2","activity3","prefer_activity","visit_place1","visit_place2","visit_place3","visit_place4","visit_place5","visit_place6","visit_place7","visit_place8","visit_place9","visit_place10","visit_place11","visit_place12","visit_place13","visit_place14","visit_place15","visit_place16","visit_place17","visit_place18","visit_place19","visit_place20","visit_place21","visit_place22","visit_place23","visit_place24","visit_place25","visit_place26","visit_place27","visit_place28","visit_place29","visit_place30","visit_place31","visit_place32","visit_place33","visit_place34","visit_place35","visit_place36","visit_place37","visit_place38","visit_place39","visit_place40","visit_place41","visit_place42","visit_place43","visit_place44","visit_place45","visit_place46","visit_place47","visit_place48","visit_seoul","visit_inceon","visit_gyeongi","visit_gangwon","visit_daejeon","visit_chungbuk","visit_chungnam","visit_sejong","visit_gyeongbuk","visit_gyeongnam","visit_daegu","visit_ulsan","visit_busan","visit_gwangju","visit_jeonbuk","visit_jeonnam","visit_jeju","visit_etc","period_code","period","prefer_visit_place1","prefer_visit_place2","prefer_visit_place3","shopping_goods1","shopping_goods2","shopping_goods3","shopping_place1","shopping_place2","shopping_place3","satisfaction","revisit_intention","recommend_intention","image_korea_before","image_korea_after","type","accomodations_hotel","accomodations_guesthouse","accomodations_condo","accomodations_friend","accomodations_official","accomodations_temple","accomodations_homestay","accomodations_etc","accomodations_no","total_pay","total_card","total_cash","pay_accomodations","pay_agency_abroad","pay_shopping","pay_eat","pay_transportation","pay_entertainment","pay_agency_kor","pay_culture","pay_exercise","pay_etc","daily_pay","date_survey","nation","city","gender","job","age","area_total","site_total","spring","summer","fall","winter","satisfaction_index"
"6451",1,0,4,5,1,6,NA,NA,NA,2,NA,NA,4,2,2,16,NA,NA,16,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,NA,NA,98,NA,NA,98,NA,NA,4,5,5,4,5,1,1,0,0,0,0,0,0,0,0,104.67,104.67,0,104.67,0,0,0,0,0,0,0,0,0,52.335,2,97,6522,1,2,3,1,1,0,0,0,1,3
"6457",1,0,1,1,1,6,NA,NA,NA,1,2,NA,4,3,11,1,2,17,17,25,108,112,127,130,131,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11,18,108,112,134,1,2,7,2,3,NA,4,4,4,4,5,2,1,0,0,0,0,1,0,0,0,820,0,820,0,700,120,0,0,0,0,0,0,0,45.5555555555556,8,19,5208,1,12,1,3,7,0,1,0,0,2
"6476",1,0,1,1,1,6,NA,NA,NA,2,NA,NA,4,2,2,16,NA,NA,16,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,NA,NA,10,11,NA,1,NA,NA,5,5,5,3,4,1,1,0,0,0,0,0,0,0,0,1550,1550,0,1000,0,50,200,300,0,0,0,0,0,516.666666666667,11,9,847,1,12,1,1,1,0,0,1,0,3
"6533",2,2,1,1,1,1,1,6,3,1,NA,NA,4,3,6,22,17,20,17,3,4,5,8,16,28,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,50,16,3,5,10,18,5,7,8,5,5,5,5,5,2,1,0,0,0,0,0,0,0,0,767.6,666.6,101,0,666.6,101,0,0,0,0,0,0,0,109.657142857143,1,17,5009,2,2,2,3,7,0,0,0,1,3
"6534",2,2,1,1,1,1,1,7,NA,1,2,NA,4,3,20,1,17,22,18,1,2,5,8,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,5,48,5,10,NA,2,7,NA,4,4,4,5,5,2,1,1,0,0,0,0,0,0,0,318.015,0,318.015,0,51.615,266.4,0,0,0,0,0,0,0,63.603,5,5,501,2,3,4,2,5,1,0,0,0,2
"6601",2,2,1,1,1,1,2,1,NA,2,1,NA,4,3,18,1,2,18,1,1,4,5,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,5,NA,5,10,NA,2,7,NA,5,4,4,4,4,2,1,0,0,0,0,0,0,0,0,77.25,61.8,15.45,0,0,61.8,15.45,0,0,0,0,0,0,15.45,2,3,401,2,3,1,1,5,0,0,0,1,2
"6627",2,2,1,1,1,1,2,4,10,3,NA,NA,4,3,7,9,1,17,9,1,4,5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,4,5,4,8,9,2,7,10,3,2,3,3,3,2,1,0,0,0,0,0,0,0,0,2282.81221945777,1709.97169996837,572.840519489403,0,478.792075991142,1709.97169996837,94.0484434982601,0,0,0,0,0,0,570.703054864442,7,6,701,2,3,2,2,4,0,1,0,0,1
"6661",2,2,1,1,1,1,2,7,9,3,2,NA,4,3,6,1,2,3,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,NA,NA,1,5,16,1,2,10,5,4,4,4,5,1,1,0,0,0,0,0,0,0,0,3200,0,3200,1000,0,2000,200,0,0,0,0,0,0,1066.66666666667,10,2,203,1,4,3,1,1,0,0,1,0,2
"6680",2,2,1,1,1,1,3,4,9,8,7,4,4,3,3,1,16,18,1,3,5,35,96,99,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,8,3,5,101,4,7,18,1,11,NA,5,5,5,5,5,1,1,0,0,0,0,0,0,0,0,600,350,250,100,0,100,200,20,100,0,80,0,0,75,1,9,804,1,1,2,3,6,0,0,0,1,3
"6719",2,2,1,1,1,1,6,2,1,3,2,1,4,3,36,17,9,1,9,5,13,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,28,13,5,5,8,9,2,7,10,5,4,4,4,4,2,1,0,0,0,0,0,0,0,0,700,700,0,0,600,100,0,0,0,0,0,0,0,233.333333333333,11,14,1703,2,2,1,2,3,0,0,1,0,2
